Dates,AAPL US Equity,META US Equity,MSFT US Equity
7/14/2022,0.020483,-0.033274,0.005381
7/15/2022,0.01145,0.042075,0.01039
7/18/2022,-0.020643,0.015361,-0.009621
7/19/2022,0.026722,0.051127,0.020767
7/20/2022,0.01351,0.041586,0.010558
7/21/2022,0.015094,0.000437,0.009799
7/22/2022,-0.008111,-0.075886,-0.016916
7/25/2022,-0.007398,-0.015478,-0.005876
7/26/2022,-0.008826,-0.045005,-0.026774
7/27/2022,0.034235,0.065536,0.066852
7/28/2022,0.003572,-0.052247,0.028541
7/29/2022,0.032793,-0.01008,0.015665
8/1/2022,-0.006153,0.005217,-0.009724
8/2/2022,-0.009287,0.001626,-0.011474
8/3/2022,0.038248,0.053749,0.027836
8/4/2022,-0.001926,0.010486,0.004177
8/5/2022,-0.002774,-0.020285,-0.002609
8/8/2022,-0.002903,0.01879,-0.009155
8/9/2022,0.000303,-0.010103,0.007063
8/10/2022,0.026195,0.058209,0.0243
8/11/2022,-0.004432,-0.004766,-0.007401
8/12/2022,0.021426,0.016959,0.017037
8/15/2022,0.006334,0.002161,0.005344
8/16/2022,-0.000924,-0.00785,-0.00259
8/17/2022,0.008785,-0.025742,-0.004749
8/18/2022,-0.002292,-0.001087,-0.003948
8/19/2022,-0.015102,-0.03836,-0.013854
8/22/2022,-0.023029,-0.029233,-0.029355
8/23/2022,-0.002029,-0.011898,-0.004716
8/24/2022,0.001794,0.013345,-0.002351
8/25/2022,0.014923,0.033811,0.011095
8/26/2022,-0.037699,-0.041474,-0.038587
8/29/2022,-0.01369,-0.016133,-0.010668
8/30/2022,-0.015305,-0.012628,-0.008521
8/31/2022,-0.010635,0.036714,-0.005704
9/1/2022,0.004707,0.014914,-0.004092
9/2/2022,-0.013611,-0.030479,-0.016667
9/5/2022,-0.013611,-0.030479,-0.016667
9/6/2022,-0.008215,-0.011103,-0.010974
9/7/2022,0.009254,0.011669,0.019112
9/8/2022,-0.009618,0.010412,0.001666
9/9/2022,0.01884,0.043749,0.022977
9/12/2022,0.038508,-0.001123,0.008281
9/13/2022,-0.05868,-0.093691,-0.054978
9/14/2022,0.009555,-0.01084,0.000913
9/15/2022,-0.01893,-0.012676,-0.027119
9/16/2022,-0.01096,-0.021799,-0.002608
9/19/2022,0.025083,0.011826,-0.000899
9/20/2022,0.015665,-0.013039,-0.008466
9/21/2022,-0.020268,-0.027175,-0.014436
9/22/2022,-0.006375,0.004925,0.008496
9/23/2022,-0.015124,-0.016874,-0.012698
9/26/2022,0.00226,-0.028773,-0.001975
9/27/2022,0.006566,-0.014446,-0.00438
9/28/2022,-0.012652,0.053646,0.019712
9/29/2022,-0.049119,-0.036721,-0.014809
9/30/2022,-0.030039,-0.005352,-0.019368
10/3/2022,0.030753,0.021595,0.033663
10/4/2022,0.025623,0.012048,0.033812
10/5/2022,0.002053,-0.009267,0.001286
10/6/2022,-0.006626,0.000648,-0.009671
10/7/2022,-0.036719,-0.040411,-0.050853
10/10/2022,0.002356,0.002548,-0.021303
10/11/2022,-0.010255,-0.039241,-0.01675
10/12/2022,-0.004605,-0.008091,0.001508
10/13/2022,0.033613,0.021882,0.037608
10/14/2022,-0.03224,-0.027093,-0.024249
10/17/2022,0.029123,0.057431,0.039246
10/18/2022,0.009409,-0.009251,0.004084
10/19/2022,0.000765,0.003238,-0.00847
10/20/2022,-0.003267,-0.01276,-0.001395
10/21/2022,0.027059,-0.011556,0.025281
10/24/2022,0.014803,-0.002231,0.021188
10/25/2022,0.019338,0.060052,0.013792
10/26/2022,-0.019627,-0.055923,-0.077156
10/27/2022,-0.030465,-0.245571,-0.019756
10/28/2022,0.075552,0.012865,0.040221
10/31/2022,-0.01541,-0.060887,-0.015856
11/1/2022,-0.017543,0.021898,-0.017059
11/2/2022,-0.037305,-0.04895,-0.035368
11/3/2022,-0.042405,-0.018003,-0.026579
11/4/2022,-0.0036,0.021145,0.033326
11/7/2022,0.003902,0.065316,0.02927
11/8/2022,0.004175,-0.002585,0.004388
11/9/2022,-0.03319,0.05183,-0.01905
11/10/2022,0.088975,0.102493,0.082268
11/11/2022,0.019269,0.01028,0.016997
11/14/2022,-0.009486,0.010618,-0.0225
11/15/2022,0.011869,0.025039,0.001739
11/16/2022,-0.008331,-0.032883,-0.000992
11/17/2022,0.012971,-0.01572,-0.000207
11/18/2022,0.003782,0.005384,-0.001903
11/21/2022,-0.02168,-0.019545,0.003441
11/22/2022,0.014661,0.014382,0.012312
11/23/2022,0.005926,0.007179,0.010407
11/24/2022,0.005926,0.007179,0.010407
11/25/2022,-0.019594,-0.007395,-0.000364
11/28/2022,-0.026264,-0.023606,-0.023152
11/29/2022,-0.021148,0.006251,-0.005915
11/30/2022,0.048594,0.078933,0.061624
12/1/2022,0.001892,0.019814,-0.001764
12/2/2022,-0.003371,0.025324,0.001296
12/5/2022,-0.007983,-0.008584,-0.0189
12/6/2022,-0.02537,-0.067876,-0.020304
12/7/2022,-0.013785,-0.001665,-0.00306
12/8/2022,0.012133,0.012288,0.012399
12/9/2022,-0.003435,0.004942,-0.008003
12/12/2022,0.01639,-0.010267,0.028889
12/13/2022,0.006782,0.047424,0.017465
12/14/2022,-0.015536,0.011985,0.001168
12/15/2022,-0.046854,-0.044741,-0.031918
12/16/2022,-0.014579,0.028239,-0.017349
12/19/2022,-0.01591,-0.041447,-0.017328
12/20/2022,-0.000529,0.022799,0.005614
12/21/2022,0.02381,0.022803,0.010877
12/22/2022,-0.023773,-0.022044,-0.025529
12/23/2022,-0.002798,0.007855,0.002267
12/26/2022,-0.002798,0.007855,0.002267
12/27/2022,-0.013878,-0.009827,-0.007414
12/28/2022,-0.030685,-0.01078,-0.010255
12/29/2022,0.028324,0.040131,0.02763
12/30/2022,0.002469,0.000665,-0.004938
1/2/2023,0.002469,0.000665,-0.004938
1/3/2023,-0.037405,0.036563,-0.001001
1/4/2023,0.010314,0.021084,-0.043743
1/5/2023,-0.010605,-0.003376,-0.029638
1/6/2023,0.036794,0.024263,0.011785
1/9/2023,0.004089,-0.00423,0.009736
1/10/2023,0.004456,0.027188,0.007617
1/11/2023,0.021112,-0.000752,0.030238
1/12/2023,-0.000599,0.028746,0.011621
1/13/2023,0.010119,0.001975,0.003019
1/16/2023,0.010119,0.001975,0.003019
1/17/2023,0.008756,-0.011827,0.004682
1/18/2023,-0.00537,-0.017287,-0.018889
1/19/2023,0.000444,0.02353,-0.016454
1/20/2023,0.019221,0.02365,0.035744
1/23/2023,0.0235,0.027983,0.009824
1/24/2023,0.010063,-0.000907,-0.002226
1/25/2023,-0.004701,-0.011457,-0.005908
1/26/2023,0.014803,0.040989,0.030714
1/27/2023,0.013684,0.030143,0.000645
1/30/2023,-0.020078,-0.030842,-0.021962
1/31/2023,0.009021,0.012988,0.021013
2/1/2023,0.007901,0.027858,0.019935
2/2/2023,0.037063,0.232824,0.046884
2/3/2023,0.0244,-0.011866,-0.023621
2/6/2023,-0.017929,-0.00252,-0.006116
2/7/2023,0.019245,0.029883,0.042022
2/8/2023,-0.017653,-0.042741,-0.003102
2/9/2023,-0.006912,-0.030039,-0.01166
2/10/2023,0.000928,-0.021189,-0.001973
2/13/2023,0.018807,0.030319,0.031243
2/14/2023,-0.004225,0.000279,0.003133
2/15/2023,0.013903,-0.012926,-0.010471
